region_name,id,latitude,longitude,http
Sursum Corda Cooperative,403491,38.904914,-77.010625,http://www.zillow.com/local-info/DC-Washington/Sursum-Corda-Cooperative/r_403491/
Mahaning Heights,403498,38.897671,-76.945561,http://www.zillow.com/local-info/DC-Washington/Mahaning-Heights/r_403498/
Potomac Heights,121776,38.935513,-77.110272,http://www.zillow.com/local-info/DC-Washington/Potomac-Heights/r_121776/
Capitol View,121686,38.88775,-76.922676,http://www.zillow.com/local-info/DC-Washington/Capitol-View/r_121686/
Gallaudet,403485,38.908564,-76.995645,http://www.zillow.com/local-info/DC-Washington/Gallaudet/r_403485/
Twining,121801,38.87359,-76.965617,http://www.zillow.com/local-info/DC-Washington/Twining/r_121801/
Friendship Heights,121726,38.959816,-77.079214,http://www.zillow.com/local-info/DC-Washington/Friendship-Heights/r_121726/
McLean Gardens,121759,38.935591,-77.076333,http://www.zillow.com/local-info/DC-Washington/McLean-Gardens/r_121759/
Civic Betterment,403495,38.878874,-76.928481,http://www.zillow.com/local-info/DC-Washington/Civic-Betterment/r_403495/
Swampoodle,403492,38.895782,-77.010958,http://www.zillow.com/local-info/DC-Washington/Swampoodle/r_403492/
Barry Farm,403500,38.859171,-76.998815,http://www.zillow.com/local-info/DC-Washington/Barry-Farm/r_403500/
The Palisades,121797,38.914822,-77.093796,http://www.zillow.com/local-info/DC-Washington/The-Palisades/r_121797/
Woodland-Normanstone Terrace,403479,38.924347,-77.057692,http://www.zillow.com/local-info/DC-Washington/Woodland--Normanstone-Terrace/r_403479/
Penn Quarter,403488,38.895595,-77.024804,http://www.zillow.com/local-info/DC-Washington/Penn-Quarter/r_403488/
Stronghold,403484,38.929787,-76.997308,http://www.zillow.com/local-info/DC-Washington/Stronghold/r_403484/
Pleasant Hill,403483,38.943522,-77.003774,http://www.zillow.com/local-info/DC-Washington/Pleasant-Hill/r_403483/
Fairfax Village,121713,38.863456,-76.951722,http://www.zillow.com/local-info/DC-Washington/Fairfax-Village/r_121713/
Eastland Gardens,121708,38.908536,-76.94555,http://www.zillow.com/local-info/DC-Washington/Eastland-Gardens/r_121708/
Good Hope,121732,38.86297,-76.9649,http://www.zillow.com/local-info/DC-Washington/Good-Hope/r_121732/
Burrville,403494,38.901162,-76.92106,http://www.zillow.com/local-info/DC-Washington/Burrville/r_403494/
Knox Hill,403502,38.85317,-76.97345,http://www.zillow.com/local-info/DC-Washington/Knox-Hill/r_403502/
Kenilworth,121743,38.913399,-76.94129,http://www.zillow.com/local-info/DC-Washington/Kenilworth/r_121743/
National Arboretum,268819,38.91197,-76.96093,http://www.zillow.com/local-info/DC-Washington/National-Arboretum/r_268819/
Observatory Circle,268821,38.923081,-77.064272,http://www.zillow.com/local-info/DC-Washington/Observatory-Circle/r_268821/
Chinatown,121692,38.90022,-77.02148,http://www.zillow.com/local-info/DC-Washington/Chinatown/r_121692/
Hawthorne,121735,38.981824,-77.054207,http://www.zillow.com/local-info/DC-Washington/Hawthorne/r_121735/
Gateway,121728,38.920948,-76.963716,http://www.zillow.com/local-info/DC-Washington/Gateway/r_121728/
Penn Branch,121772,38.86563,-76.955864,http://www.zillow.com/local-info/DC-Washington/Penn-Branch/r_121772/
Hillcrest,121736,38.858885,-76.954413,http://www.zillow.com/local-info/DC-Washington/Hillcrest/r_121736/
Foxhall,121724,38.909295,-77.081842,http://www.zillow.com/local-info/DC-Washington/Foxhall/r_121724/
Theodore Roosevelt Island,403135,38.895056,-77.063242,http://www.zillow.com/local-info/DC-Washington/Theodore-Roosevelt-Island/r_403135/
Tenleytown,121794,38.950493,-77.077409,http://www.zillow.com/local-info/DC-Washington/Tenleytown/r_121794/
Massachusetts Heights,403478,38.928065,-77.069754,http://www.zillow.com/local-info/DC-Washington/Massachusetts-Heights/r_403478/
Blue Plains Treatment Plant,403504,38.814446,-77.027611,http://www.zillow.com/local-info/DC-Washington/Blue-Plains-Treatment-Plant/r_403504/
Colony Hill,121696,38.913748,-77.084118,http://www.zillow.com/local-info/DC-Washington/Colony-Hill/r_121696/
Arboretum,403506,38.914922,-76.97301,http://www.zillow.com/local-info/DC-Washington/Arboretum/r_403506/
National Mall - West Potomac Park,403137,38.886477,-77.034556,http://www.zillow.com/local-info/DC-Washington/National-Mall----West-Potomac-Park/r_403137/
East Potomac Park,403115,38.865306,-77.033565,http://www.zillow.com/local-info/DC-Washington/East-Potomac-Park/r_403115/
Lady Bird Johnson Park,403138,38.880628,-77.054984,http://www.zillow.com/local-info/DC-Washington/Lady-Bird-Johnson-Park/r_403138/
